X,Y_anc_sceg-30,Y_anc_sceg-37,Y_anc_sdc,Y_anc_sdc-37,Y_anc_sdc-diam,Y_anc_sdc-h2o2,Y_anc_sdc-kcl,Y_anc_sdc-kcl-diam,Y_anc_sdc-kcl-h2o2,Y_anc_sdc-sorb,Y_anc_ypd,Y_anc_ypd-37,Y_anc_ypd-diam,Y_anc_ypd-h2o2,Y_anc_ypd-kcl,Y_anc_ypd-kcl-diam,Y_anc_ypd-kcl-h2o2,Y_anc_ypd-sorb,Y_anc_ypeg-30,Y_anc_ypeg-37
-3.6883292,4.5213733,,,,,,,,,,,,,,,,,,,
-5.2687407,7.1449294,,,,,,,,,,,,,,,,,,,
-2.0856209,4.3433385,,,,,,,,,,,,,,,,,,,
-4.052547,5.2836623,,,,,,,,,,,,,,,,,,,
-5.4646688,5.4361877,,,,,,,,,,,,,,,,,,,
-3.611884,3.5122464,,,,,,,,,,,,,,,,,,,
-4.7210374,6.575299,,,,,,,,,,,,,,,,,,,
-3.8598638,3.3558786,,,,,,,,,,,,,,,,,,,
-4.88303,6.002239,,,,,,,,,,,,,,,,,,,
-3.7697597,4.8863554,,,,,,,,,,,,,,,,,,,
-3.5950263,5.890359,,,,,,,,,,,,,,,,,,,
-4.6533465,6.5015874,,,,,,,,,,,,,,,,,,,
-4.1253266,4.639813,,,,,,,,,,,,,,,,,,,
-5.7894435,6.2333746,,,,,,,,,,,,,,,,,,,
-3.5428402,4.447116,,,,,,,,,,,,,,,,,,,
-4.0927353,5.1139183,,,,,,,,,,,,,,,,,,,
-4.10709,6.719851,,,,,,,,,,,,,,,,,,,
-4.3904605,3.7225268,,,,,,,,,,,,,,,,,,,
-4.694469,6.549551,,,,,,,,,,,,,,,,,,,
-4.3894124,3.3820534,,,,,,,,,,,,,,,,,,,
-4.167398,5.2414246,,,,,,,,,,,,,,,,,,,
-3.343977,3.405217,,,,,,,,,,,,,,,,,,,
-5.367195,5.699614,,,,,,,,,,,,,,,,,,,
-3.0648284,4.8388104,,,,,,,,,,,,,,,,,,,
-3.8475757,4.039231,,,,,,,,,,,,,,,,,,,
-5.2163167,6.294824,,,,,,,,,,,,,,,,,,,
-3.5806615,4.3297696,,,,,,,,,,,,,,,,,,,
-3.896155,3.878565,,,,,,,,,,,,,,,,,,,
-3.6762788,3.5250392,,,,,,,,,,,,,,,,,,,
-5.522967,5.6424236,,,,,,,,,,,,,,,,,,,
-3.663617,4.577825,,,,,,,,,,,,,,,,,,,
-4.425845,4.27128,,,,,,,,,,,,,,,,,,,
-3.2268753,5.6941595,,,,,,,,,,,,,,,,,,,
-4.7030444,5.4667993,,,,,,,,,,,,,,,,,,,
-5.0634103,6.4036026,,,,,,,,,,,,,,,,,,,
-3.391402,3.935216,,,,,,,,,,,,,,,,,,,
-5.9709253,6.530795,,,,,,,,,,,,,,,,,,,
-3.999186,4.8851857,,,,,,,,,,,,,,,,,,,
-4.676182,5.6051216,,,,,,,,,,,,,,,,,,,
