X,Y_evo_sceg-30,Y_evo_sdc,Y_evo_sdc-37,Y_evo_sdc-diam,Y_evo_sdc-h2o2,Y_evo_sdc-kcl,Y_evo_sdc-kcl-diam,Y_evo_sdc-kcl-h2o2,Y_evo_sdc-sorb,Y_evo_ypd,Y_evo_ypd-37,Y_evo_ypd-diam,Y_evo_ypd-h2o2,Y_evo_ypd-kcl,Y_evo_ypd-kcl-diam,Y_evo_ypd-kcl-h2o2,Y_evo_ypd-sorb,Y_evo_ypeg-30
-2.608624,10.031839,,,,,,,,,,,,,,,,,
-1.4257021,10.379332,,,,,,,,,,,,,,,,,
-2.8876252,8.948057,,,,,,,,,,,,,,,,,
-3.4584644,12.684534,,,,,,,,,,,,,,,,,
-3.4027681,9.760621,,,,,,,,,,,,,,,,,
-2.6990943,10.34501,,,,,,,,,,,,,,,,,
-1.7260178,10.820907,,,,,,,,,,,,,,,,,
-3.264218,11.360915,,,,,,,,,,,,,,,,,
-2.6568682,11.454167,,,,,,,,,,,,,,,,,
-2.5325217,10.477088,,,,,,,,,,,,,,,,,
-3.5446906,12.822593,,,,,,,,,,,,,,,,,
-2.546257,9.4590645,,,,,,,,,,,,,,,,,
-2.7494447,10.121581,,,,,,,,,,,,,,,,,
-3.319837,11.994077,,,,,,,,,,,,,,,,,
-3.7659273,12.115957,,,,,,,,,,,,,,,,,
-2.8191571,10.509972,,,,,,,,,,,,,,,,,
-3.2214854,10.79397,,,,,,,,,,,,,,,,,
-1.9991969,10.958489,,,,,,,,,,,,,,,,,
-3.5092673,12.462006,,,,,,,,,,,,,,,,,
-3.490256,12.52937,,,,,,,,,,,,,,,,,
-2.1242085,10.6258,,,,,,,,,,,,,,,,,
-1.9921316,10.832173,,,,,,,,,,,,,,,,,
-3.0686016,12.791607,,,,,,,,,,,,,,,,,
-2.4255805,10.981866,,,,,,,,,,,,,,,,,
-3.055437,10.742342,,,,,,,,,,,,,,,,,
-3.0592046,11.634882,,,,,,,,,,,,,,,,,
-2.7461371,10.907629,,,,,,,,,,,,,,,,,
-3.5045936,11.544639,,,,,,,,,,,,,,,,,
-3.745133,10.33299,,,,,,,,,,,,,,,,,
-2.766609,10.679495,,,,,,,,,,,,,,,,,
-3.5717053,12.37261,,,,,,,,,,,,,,,,,
-2.8684926,9.665281,,,,,,,,,,,,,,,,,
-3.626267,11.839549,,,,,,,,,,,,,,,,,
-1.7817873,11.146623,,,,,,,,,,,,,,,,,
-1.5255531,9.555567,,,,,,,,,,,,,,,,,
-3.3289552,11.311236,,,,,,,,,,,,,,,,,
-3.6103735,11.84139,,,,,,,,,,,,,,,,,
-2.3509834,9.912928,,,,,,,,,,,,,,,,,
-3.5408587,12.456908,,,,,,,,,,,,,,,,,
-2.731366,11.909958,,,,,,,,,,,,,,,,,
7.9814954,13.180458,,,,,,,,,,,,,,,,,
-3.0606995,8.561431,,,,,,,,,,,,,,,,,
-3.228334,11.467958,,,,,,,,,,,,,,,,,
-2.9110336,10.581143,,,,,,,,,,,,,,,,,
-2.441348,10.445999,,,,,,,,,,,,,,,,,
-1.6499606,10.651398,,,,,,,,,,,,,,,,,
-4.119556,7.3431077,,,,,,,,,,,,,,,,,
-2.7301605,10.862555,,,,,,,,,,,,,,,,,
-2.7620947,12.083123,,,,,,,,,,,,,,,,,
-2.5092704,10.345484,,,,,,,,,,,,,,,,,
-1.6979936,10.914433,,,,,,,,,,,,,,,,,
-1.9815229,9.666342,,,,,,,,,,,,,,,,,
-1.8968283,11.329955,,,,,,,,,,,,,,,,,
-3.226093,11.438325,,,,,,,,,,,,,,,,,
-3.3262243,12.451178,,,,,,,,,,,,,,,,,
-2.9040484,10.491905,,,,,,,,,,,,,,,,,
-2.0503633,11.159062,,,,,,,,,,,,,,,,,
